NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT
ADAMANTINA,494.2731528340081,533.5753289473685,517.9645669291339,530.4110761154856
AGUDOS,487.47319932998323,530.3416527079844,516.3583820093459,521.2664135514019
AMERICANA,508.79348306658414,548.5647891060217,533.7041379624983,547.7888042337698
AMPARO,510.5567607856892,545.7967730620835,532.6644466654552,544.9181083045612
ANDRADINA,485.94768914384673,524.7255980084425,514.1940275137009,514.4629795324907
ANGATUBA,507.50613496932516,546.5842535787322,523.055460385439,520.2079229122056
APARECIDA,489.2666729929778,531.9672423609793,518.444615081709,525.8108682811577
APIAI,465.35853600944506,507.22554899645814,495.44582005393477,487.6673449374847
ARACATUBA,498.39189274733224,535.0403011394466,523.4367711540256,532.86270640918
ARACOIABA DA SERRA,476.54275032509753,517.719765929779,506.3173337856174,508.7976933514247
ARARAQUARA,510.92186228625616,551.2493805634579,537.9543530301122,547.5243448406198
ARARAS,503.55225112853407,538.7173734853884,526.1867281105991,541.6861689708142
ARTUR NOGUEIRA,487.6693104514533,533.7820810142239,516.5054248679788,525.8113138102096
ARUJA,484.7000861079219,529.1603138155376,515.1803755961844,511.59205087440387
ASSIS,490.9511296812133,531.9423645930053,519.9249662964628,519.0691339795853
ATIBAIA,496.1709204368175,539.1811945620682,525.5257769989855,531.9229456792401
AURIFLAMA,485.39695054945054,518.8706318681319,508.68735534857467,517.7784081287044
AVANHANDAVA,485.3812274368231,511.8379061371841,494.7735074626865,490.569776119403
AVARE,496.23122657753476,536.5630710017219,522.4727983104541,532.5907074973601
Adamantina,508.7395833333333,553.4708613728129,530.9359322033898,536.8658645907053
Agudos,502.9225293132328,551.455420711974,534.1442344563134,529.7021276595744
Americana,521.4669361235976,566.9469704721532,548.7993120194253,563.5757284138456
Amparo,514.7938116100767,559.8752985598876,541.2933876972168,550.3831520737327
Andradina,495.18197364732265,537.1603231922,523.3883973364955,518.4515443468405
Aparecida,495.2015587044535,547.6086260733802,530.3263334650336,526.5824313243132
Apiaí,476.9429258902791,530.9750922509226,518.5275402943238,500.8442331138747
Araraquara,516.1653602337248,560.9318829008649,543.5770125127544,545.6592784222092
Araras,518.016409628135,562.6772382608696,543.4786591786592,553.4481449148843
Araçatuba,510.62134900514707,552.5003181767731,536.3158379992535,543.5744175227757
Araçoiaba da Serra,491.4619539316918,540.5318825910931,526.6787136294028,519.3267432540742
Artur Nogueira,493.7222661396575,546.4079932332417,529.5792908858604,527.3878898473789
Arujá,489.49166825790843,540.5971435561808,527.7209973428907,515.2496172402701
Assis,502.11093389819945,551.454811213158,536.773966541399,533.3083071113908
Atibaia,506.3511165480427,556.57594974702,538.4642674524418,539.57658196537
Auriflama,492.8932038834951,536.8199892962269,521.4279590186034,524.0410399776349
Avaré,508.83905851297845,551.0425415756762,534.5385359233184,542.463353485064
BARRA BONITA,496.66684836471757,535.0620581433764,525.0841479972844,529.9472844534962
BARRETOS,484.78039885016165,523.2783686669062,508.69698948808855,512.3890900043541
BARRINHA,464.6298326359833,508.1984937238493,492.89302224160485,496.1810292193633
BARUERI,484.39771957840946,532.44632705206,519.0448399760463,516.9953955685675
BATATAIS,500.1726185650588,538.5780401297121,525.6767600461652,536.0110376665617
BAURU,504.0623335372453,544.216535692438,530.814769810029,540.5913302853231
BEBEDOURO,495.9881920026167,533.2288739880612,521.6169714333867,530.3539310693519
BERTIOGA,470.27275977653636,513.1810502793296,503.9246457607433,489.29488966318235
BIRIGUI,485.672103861518,524.6148934753662,512.8368330107824,521.3534282554604
BOITUVA,483.7183405327574,523.3548776097913,510.6823905280962,513.9544070663409
BOTUCATU,518.6804834500756,555.8927207801127,539.8989419116604,556.6205652606163
BRAGANCA PAULISTA,492.74434765924786,532.7995471987721,520.3203823939454,527.3833698466441
Barra Bonita,505.2080741535162,550.6998963116575,536.2402862680782,537.1951102884467
Barra do Turvo,463.4984719864176,504.8929133858268,507.6138535031847,480.489175257732
Barretos,500.5451703056769,541.1709852990687,524.1622424722663,526.9491569238
Barrinha,478.97314460596783,524.438518155054,510.12020854021847,499.29625613219724
Barueri,495.9427989130434,547.8914235208928,535.1034957057063,528.4240973895809
Batatais,505.38909192616075,548.6921201763065,532.751795429815,535.5738272069192
Bauru,514.9002572754111,560.085341927115,542.766391111293,547.1935169211765
Bebedouro,510.0021147041883,551.9964566616351,534.2219488741085,541.2807139892071
Bertioga,481.04101550142354,530.0778182369899,519.5596536929206,498.2688828512066
Birigui,499.67129789547755,546.6848363187153,531.267024932825,533.7885213000129
Boituva,500.9820828331333,550.3772779205941,535.9685244008085,538.4949908925319
Botucatu,527.965664893617,568.4507972199509,548.4761174047374,563.8485846021874
Bragança Paulista,503.6261161861826,552.0202669717772,534.1845292778014,539.0540682309602
CABREUVA,471.53419220055713,514.0890900649953,504.6679428156046,498.1359340925612
CACAPAVA,498.4272860277981,543.3312362838332,529.6327862643606,540.2559272819088
CACHOEIRA PAULISTA,494.0542305334151,530.5711833231146,520.2356507936508,525.8591746031746
CAIEIRAS,478.22841765339075,522.6398815931109,512.6842825326121,504.2056156538339
CAIUA,452.58500000000004,452.41,445.5736842105263,464.14210526315793
CAJAMAR,468.73656597774243,514.8329238329238,502.5664204973625,486.3514845516202
CAJATI,461.7408596148479,501.9467485347474,491.3594955059437,484.5052768918527
CAJURU,483.9227642276423,544.8904471544715,517.5296450939458,475.7010438413361
CAMPINAS,513.4001280108432,555.2606479607684,537.8923908088342,551.8434077925101
CAMPO LIMPO PAULISTA,483.5050274339671,527.7118795457445,515.3120010608673,513.6706670202891
CAMPOS DO JORDAO,487.0456346841478,529.6477205005959,517.926052753355,521.8422181089002
CANDIDO MOTA,485.7804581580178,528.7806919121084,511.8414821944178,520.9195380173244
CAPAO BONITO,470.9432241892527,512.8438195206016,502.7825115055884,499.04626890203815
CAPIVARI,490.0855410062026,526.1466574776017,513.7763146520674,524.0604667915286
CARAGUATATUBA,482.23458717970834,528.6875851954102,516.3086238035037,513.6889019324544
CARAPICUIBA,465.3444067431464,516.499132870146,504.60554077145014,485.5562228633856
CASA BRANCA,499.2559118236473,537.991549766199,524.4293915434857,528.262667583362
CATANDUVA,507.40080506796886,543.2858189256962,531.8052010906612,548.9600272665303
CERQUEIRA CESAR,491.32272354388846,531.8536915504512,517.8410729613734,530.3551072961372
CERQUILHO,495.34547065337756,537.254684385382,522.9417073738078,530.2149569667365
CHARQUEADA,492.43861788617886,522.7829268292683,508.1860262008734,506.5772925764192
COSMOPOLIS,493.7480073461891,533.7680257116621,519.7662588415217,521.3346014146434
COTIA,490.68901143958345,535.0998031899627,522.2539736219142,520.5601750084545
CRUZEIRO,495.76757230499567,535.1489482909728,524.1290120646484,528.1174823582974
CUBATAO,478.5252403637939,524.0064183629277,513.2584141368372,509.8903307657453
Cabreúva,482.5864835640138,537.6231856934913,522.4972700545989,508.0522613065327
Cachoeira Paulista,505.45540029112084,552.6145622895623,534.9724547511313,536.6566774288231
Caieiras,486.3685008066374,540.5113827433629,526.8119698660714,509.768777622703
Cajamar,482.99890260630997,536.522971602434,522.390278631428,505.6407292888368
Cajati,481.8863712095968,535.401662404092,519.7950645161291,507.0802892700975
Cajuru,485.9360993337371,531.5988348383338,516.1255069056715,512.5615831295844
Campinas,519.6531416572443,565.0619041607569,546.3834633828844,555.7501662597373
Campo Limpo Paulista,491.53717346158044,544.4081827731093,529.2105630821338,519.9363886746722
Campos do Jordão,497.8341488426604,549.6742905310481,532.6403173254002,529.1414216048471
Capivari,504.93115731317243,550.0223087621697,533.2674421883813,533.5522566371682
Capão Bonito,484.16560582274866,536.5011672095549,522.7853829261597,513.3221371841155
Caraguatatuba,495.35205330008574,546.9732899753308,533.5011863382198,527.9093380614657
Carapicuíba,476.18443491304555,532.7613132645987,521.2883615819209,495.2404449920622
Casa Branca,499.4484506132989,542.7699629171817,528.2322580645161,525.7936163318211
